sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
69,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
70,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
71,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
72,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
73,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
74,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
75,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
76,2026-05-14 23:08:10,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
77,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
78,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
79,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
80,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
81,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
82,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
83,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
84,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
85,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
86,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
87,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
88,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
89,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
90,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
91,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
92,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
93,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
94,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
95,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
96,2026-05-14 23:08:11,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
97,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
98,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
99,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
100,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
101,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
102,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
103,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
104,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
105,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
106,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
107,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
108,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
109,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
110,2026-05-14 23:08:12,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
