epoch,mark,Measured Torque,Desired Torque,DPJMC Alpha,DPJMC Tau Des PF,Pressure Total,COP AP,COP ML,DPJMC State,DPJMC Fault Flags,Exoskeleton time (seconds)
1779334529.696815,0,0.000000,0.000000,0.000000,0.000000,171.270000,0.050000,-0.310000,0.000000,48.000000,25.930000
1779334529.697314,0,0.000000,0.000000,0.000000,0.000000,171.270000,0.050000,-0.310000,0.000000,48.000000,25.940000
1779334529.701814,0,0.000000,0.000000,0.000000,0.000000,171.270000,0.050000,-0.310000,0.000000,48.000000,25.950000
1779334529.716814,0,0.000000,0.000000,0.000000,0.000000,171.270000,0.050000,-0.310000,0.000000,48.000000,25.950000
1779334529.748315,0,0.000000,0.000000,0.000000,0.000000,171.270000,0.050000,-0.310000,0.000000,48.000000,25.960000
1779334529.749314,0,0.000000,0.000000,0.000000,0.000000,173.780000,0.050000,-0.310000,0.000000,48.000000,25.970000
1779334529.761596,0,0.000000,0.000000,0.000000,0.000000,173.780000,0.050000,-0.310000,0.000000,48.000000,25.980000
1779334529.762596,0,0.000000,0.000000,0.000000,0.000000,173.780000,0.050000,-0.310000,0.000000,48.000000,26.000000
1779334529.769595,0,0.000000,0.000000,0.000000,0.000000,173.780000,0.050000,-0.310000,0.000000,48.000000,26.010000
1779334529.791561,0,0.000000,0.000000,0.000000,0.000000,173.780000,0.050000,-0.310000,0.000000,48.000000,26.020000
1779334529.794559,0,0.000000,0.000000,0.000000,0.000000,171.580000,0.050000,-0.310000,0.000000,48.000000,26.030000
1779334529.804641,0,0.000000,0.000000,0.000000,0.000000,171.580000,0.050000,-0.310000,0.000000,48.000000,26.040000
1779334529.807344,0,0.000000,0.000000,0.000000,0.000000,171.580000,0.050000,-0.310000,0.000000,48.000000,26.040000
1779334529.829344,0,0.000000,0.000000,0.000000,0.000000,171.580000,0.050000,-0.310000,0.000000,48.000000,26.050000
1779334529.830345,0,0.000000,0.000000,0.000000,0.000000,171.580000,0.050000,-0.310000,0.000000,48.000000,26.060000
1779334529.846125,0,0.000000,0.000000,0.000000,0.000000,171.580000,0.050000,-0.310000,0.000000,48.000000,26.070000
1779334529.852125,0,0.000000,0.000000,0.000000,0.000000,170.130000,0.050000,-0.310000,0.000000,48.000000,26.090000
1779334529.867160,0,0.000000,0.000000,0.000000,0.000000,170.130000,0.050000,-0.310000,0.000000,48.000000,26.100000
1779334529.874159,0,0.000000,0.000000,0.000000,0.000000,170.130000,0.050000,-0.310000,0.000000,48.000000,26.110000
1779334529.905515,0,0.000000,0.000000,0.000000,0.000000,170.130000,0.050000,-0.310000,0.000000,48.000000,26.120000
1779334529.906015,0,0.000000,0.000000,0.000000,0.000000,169.210000,0.050000,-0.310000,0.000000,48.000000,26.130000
1779334529.933846,0,0.000000,0.000000,0.000000,0.000000,169.210000,0.050000,-0.310000,0.000000,48.000000,26.140000
